"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log2FoldChange","Symbol"
"MT-ATP6",9.79484921818073e-13,0.328504318533415,0.986,0.982,2.58358737827953e-08,0.328504318533415,"MT-ATP6"
"GNB2",1.52430966852841e-12,0.387856534320179,0.569,0.374,4.02067161267738e-08,0.387856534320179,"GNB2"
"C4orf3",1.52485339221429e-12,0.385531736563986,0.578,0.377,4.02210579264364e-08,0.385531736563986,"C4orf3"
"SDC1",1.64706457054357e-12,0.41279635724407,0.57,0.367,4.34446221772278e-08,0.41279635724407,"SDC1"
"HSPE1",1.88733887070405e-12,0.423443173360268,0.595,0.409,4.97823373925607e-08,0.423443173360268,"HSPE1"
"HSBP1",1.93203395338494e-12,0.424904082469775,0.68,0.548,5.09612595884345e-08,0.424904082469775,"HSBP1"
"ADIRF",1.95667090889325e-12,0.607075212661365,0.731,0.591,5.16111085638772e-08,0.607075212661365,"ADIRF"
"TMEM50A",2.11026627952938e-12,0.385099505982597,0.596,0.406,5.56624936551465e-08,0.385099505982597,"TMEM50A"
"MYL12A",2.11495208100696e-12,0.439469676942084,0.774,0.658,5.57860910407205e-08,0.439469676942084,"MYL12A"
"FAM46C",2.11976712757472e-12,-0.316420711600705,0.368,0.566,5.59130975240383e-08,-0.316420711600705,"FAM46C"
"RPS27L",2.18014098672744e-12,0.460635559094103,0.715,0.527,5.75055788069096e-08,0.460635559094103,"RPS27L"
"ARPC3",2.34022408757397e-12,0.387414442585191,0.787,0.648,6.17280907579387e-08,0.387414442585191,"ARPC3"
"C11orf31",2.35333127816665e-12,0.404252163742815,0.632,0.466,6.20738191242016e-08,0.404252163742815,"C11orf31"
